person_uuid,age_group,sex,occupation,district,kure_probe_text_length
000280137f704fcf99f60975133b8e69,30대,남자,교육 및 훈련 사무원,동구,79
0004063bf8ea47cc9c2f349ae366ccd1,20대,여자,무직,동작구,82
0004eed35e0a43cba49e30f26dd075b0,20대,여자,보육 관련 시설 서비스 종사원,북구,83
000511aa630b41e69aeebe36d3d64a07,20대,여자,무직,강서구,84
00057d3fa57f490a9ec28428b720b913,20대,남자,조사 전문가,동래구,64
0006cadd686246d7bb0d757ddca30cf4,20대,여자,보육교사,전주시 덕진구,78
0006fb3bd7ae426285b237b16ed16241,10대,남자,무직,군산시,83
000b4bfddf3048ec9a3561dd683f1784,10대,남자,무직,평택시,78
000c0c820de14ecc9c9abb1651ba953a,30대,남자,온라인 쇼핑 판매원,성남시 수정구,89
000c35269ade427cb4766573c62f8f45,30대,남자,경리 사무원,창원시 마산회원구,102
000e50658e20485fa60a55625dcb1a38,20대,남자,무직,관악구,83
001005c6a90f48c7ba9864755fce78e2,20대,여자,무직,달서구,101
001303887af342d69aa698a0b6d58165,30대,여자,도자기제품 생산기 조작원,평택시,87
00141795b472458ca69920f5c581696b,20대,여자,무직,남양주시,83
0015023c56b64405a5155e31882c66f2,20대,남자,무직,수원시 권선구,60
0015b18f3fff4e12b03c0fabcd6250a0,10대,여자,무직,시흥시,61
0018b6617d77448e9bac1c54cc25d6f0,10대,남자,무직,청주시 서원구,97
001ab71cc29740e0a19d85cf4e759343,20대,남자,사무 보조원,강북구,93
001bab5a109240699044a0bb978103da,20대,여자,커피 조리사,관악구,97
001bc8e7d1644dde88913c1d6cbe9b98,20대,남자,무직,순천시,97
001f314c292241219b578f0b5cd5e67f,10대,여자,무직,노원구,92
001ffb84ce014598a15fe76366350ccf,30대,남자,산업 안전원,청주시 흥덕구,82
00200f55a0f94299823367f2d1d9f78f,10대,남자,무직,파주시,75
00229a904ce24cdfa37ab2e760d1df06,30대,여자,무직,강남구,70
00271d05ab0d4f0aa698d5bccab5a4ae,30대,여자,의무 기록사,양산시,97
002726a6e56843bf8597b7bfe2a62801,20대,남자,회계 사무원,양주시,83
0027ae3963d44dc09dca4dd399bc90e7,30대,남자,무직,강동구,67
002d9ca6c420483791308ac6cc229e18,10대,남자,무직,광진구,60
002ff52241664df7a7b887221aa68635,20대,여자,음식 배달원,제주시,87
003101fff0e5408a930f656852be4dab,20대,남자,산업 안전원,강서구,89
0032ffd3e66c48abb73f0c4921ad83e1,20대,남자,택배원,안산시 단원구,75
00337374af8e4095baffc80858809f0d,10대,남자,무직,양평군,66
00348fb5035c4b84a17d46396aae5415,20대,여자,무직,미추홀구,75
0035a809ee9448b4aa2bd24874a9253d,20대,남자,전기장비 조립원,화성시,66
0036918a70884f9fa3a179941ad63a1e,20대,여자,검표원,중구,71
00379bb26e3a4bfeb6b2771e60b96902,20대,여자,초등학교 교사,완도군,78
003907ac073e45a9af5e076c5a14c037,10대,여자,무직,포천시,96
003b9f38602f44208886003ed6d4475e,20대,여자,소방관,동대문구,65
003c42d49be547dabc160e9cc1614602,20대,여자,무직,서산시,71
0040ed553c9b42ccbda1876b9d5562d7,10대,남자,무직,남양주시,61
00412cd9f4864062bcb9df4f1593e4c9,10대,남자,무직,강남구,120
0042346e6a664fedab4d731e5692043b,10대,여자,무직,나주시,85
004317867b47475ea682c0088c8000f6,30대,남자,전화 상담원,동구,101
0046347ffc69470a9f7413aca1b83318,10대,남자,무직,부산진구,85
00475a80d04640639f176298b9bb51c8,10대,여자,무직,진주시,84
